# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,3.85,
1.0,3.96,
2.0,4.22,
3.0,4.41,
4.0,4.52,
5.0,4.56,
6.0,4.6,
7.0,4.65,
8.0,4.69,
9.0,4.71,
10.0,4.73,
11.0,4.84,
