# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,3.69,
1.0,3.78,
2.0,4.0,
3.0,4.13,
4.0,4.13,
5.0,4.13,
6.0,4.21,
7.0,4.16,
8.0,4.16,
9.0,4.17,
10.0,4.13,
11.0,4.14,
12.0,4.14,
