# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.7,
1.1,4.81,
2.1,5.07,
3.1,5.25,
4.1,5.35,
5.1,5.33,
6.1,5.33,
7.1,5.34,
8.1,5.35,
9.1,5.36,
10.1,5.36,
11.1,5.37,
